úZethQuark Versi¢n 7.0ú									6/01/2024
POL.LOS ANGELES	RE	P	ORTE	INVENTARIO	VALORIZADO	X LINEA MOSTRADOR			18:49:42
EXAMENES CARNET SANIDAD SANTA MARIA	10			50		500		500	
EXAMENES PREVENTIVO NINOS	99			100		9,900.00		9,900.00	
EXAMENES PREVENTIVOS	100			140		14,000.00		14,000.00	
EXERECIS GRANULOMA PIOGENO	1000			115	100	115,000.00	100,000.00	15,000.00	
EXERESIS DE LUNAR UNICO	1000			135	100	135,000.00	100,000.00	35,000.00	
"EXTRA QUISTE EPIDERMICO PEQUE;O -2CM"	500			150	110	75,000.00	55,000.00	20,000.00	
EXTRA. QUISTE EPIDERMICO MEDIANO 2-5CM	500			250	190	125,000.00	95,000.00	30,000.00	
"EXTRACC. DE CUERPO EXTRA;O PROFUNDO"	500			250	190	125,000.00	95,000.00	30,000.00	
"EXTRACC. DE CUERPO EXTRA;O SUPERFICIAL"	500			150	110	75,000.00	55,000.00	20,000.00	
EXTRACC. DE LUNAR GRANDE MAYOR 10MM	500			200	100	100,000.00	50,000.00	50,000.00	
EXTRACC. DE LUNAR MEDIANO 5-10MM	499			150	110	74,850.00	54,890.00	19,960.00	
EXTRACCION CUERPO EXTRANO	1			80		80		80	
EXTRACCION DE LIPOMA GRANDE MAYOR A 5CM	500			350	300	175,000.00	150,000.00	25,000.00	
EXTRACCION DE MUCOCELE	500			150	110	75,000.00	55,000.00	20,000.00	
EXTRACCION DE QUISTE OBSTETRICIA	96			60	25	5,760.00	2,400.00	3,360.00	
EXTRACCION DE UNAS	978			40	15	39,120.00	14,670.00	24,450.00	
EXTRACCION ESQUIRLA	9			90		810		810	
EXTRACCION LIPOMA MEDIANO DE 2-5CM	500			250	200	125,000.00	100,000.00	25,000.00	
"EXTRACCION LIPOMA PEQUE;O MENOR DE 2CM"	500			150	110	75,000.00	55,000.00	20,000.00	
EXTRACCION QUISTE SEBACEO	999			115	110	114,885.00	109,890.00	4,995.00	
EXTTRA. DE QUISTE EPIDERMICO GRANDE MAY5	500			350	300	175,000.00	150,000.00	25,000.00	
FAJA ABDOMINAL TALLA XL	1			60		60		60	
FLOREA CAJAX60 CAPSULAS	0	u	55	180	112	165	102.67	62.33	
FLUTOX 17.5MG/5ML SUSP 120ML	3			45		135		135	
FR LATEX CUALITATIVO	99			18	8	1,782.00	792	990	
FRASCO ORINA ESTERIL	17			1.5	0.88	25.5	14.96	10.54	
FROTIS DIRECTO GERMENES	100			30	15	3,000.00	1,500.00	1,500.00	
GLUCOSA ANHIDRA 100GR	1			15	10.2	15	10.2	4.8	
GLUCOTECH	32			10	2	320	64	256	
GLUCOVANCE 500/2.5MG CAJAX30 UNID	0	u	27	45		40.5		40.5	
GRAM	999			15		14,985.00		14,985.00	
GUANTES QUIRURGICO TALLA 7.5	26			5	2	130	52	78	
GUMMIES HIERRO+VIT.C+ACEI.MORINGA 1+ANOS	1			35	22	35	22	13	
GUMMIES VITAM,B1,B2,B6,A,D,C,E 2+ANOS	1			35	22	35	22	13	
HCG PRUEBA EMBARAZO COLEGIO	49			12		588		588	
HCG/HOMBRE	999			95	60	94,905.00	59,940.00	34,965.00	
HELICOBACTER PYORI ANTIGENO FECALES	82			130	71	10,660.00	5,822.00	4,838.00	
HELICOBACTER TES ALIENTO	989			280	175	276,920.00	173,075.00	103,845.00	
HEMOGLOBINA+T COAGULACION+DIRECT+ORINA	9			80	40	720	360	360	
HERPES I IGG	999			45	25	44,955.00	24,975.00	19,980.00	
HERPES II IGG	99			45	30	4,455.00	2,970.00	1,485.00	
HERPES II IGM	99			45	30	4,455.00	2,970.00	1,485.00	
ICOV IGG CUANTITATIVA	994			140	100	139,160.00	99,400.00	39,760.00	
INFILTRACION	999			40	20	39,960.00	19,980.00	19,980.00	
INFILTRACION	100			40	20	4,000.00	2,000.00	2,000.00	
INFILTRACION	1			250		250		250	
INFILTRACION 20	48			20		960		960	
INFILTRACION CAMPANA	8			348.5	320	2,788.00	2,560.00	228	
INFILTRACION CUBANOS	9			280	220	2,520.00	1,980.00	540	
INFILTRACION DE ARTICULACIONES	69			25	19	1,725.00	1,311.00	414	
INFILTRACION DE CUERO CABELLUDO	10000			120	100	1,200,000.00	1,000,000.00	200,000.00	
"INFILTRACION DE MU;ECA"	98			130	100	12,740.00	9,800.00	2,940.00	
INFILTRACION DERMICA MULTIPLE	1000			125	100	125,000.00	100,000.00	25,000.00	
INFILTRACION DERMICA UNICA	1000			85	41	85,000.00	41,000.00	44,000.00	
INFILTRACION GRANDE	98			120	100	11,760.00	9,800.00	1,960.00	
INFILTRACION PEQUENA	96			60	30	5,760.00	2,880.00	2,880.00	
INFLITRACION	48			100	50	4,800.00	2,400.00	2,400.00	
INFORME DE EKG	988			80	40	79,040.00	39,520.00	39,520.00	
INFORME RAYOS X	9			15	10	135	90	45	
INFORME RESONANCIA MAGNETICA	100			80	40	8,000.00	4,000.00	4,000.00	
INTERFERON GAMMA	99			790	577	78,210.00	57,123.00	21,087.00	
INYECTABLE DOMICILIO DOMINGO	966			50	30	48,300.00	28,980.00	19,320.00	
INYECTABLE INTRAMUSCULAR DOMICILIO	97			15	10	1,455.00	970	485	
JERINGA 3ML X100	1	u	16	50	21	58	24.36	33.64	
LAVADO DE OIDO PROMOCION	93			30		2,790.00		2,790.00	
LDH /LACTATO DESHIDROGENASA	99			65	50	6,435.00	4,950.00	1,485.00	
LECTURA DE TOMOGRAFIA	8			25	15	200	120	80	
LEVANTAMIENTO OBSERVACION CUBANOS	9			100	50	900	450	450	
"LIMPIEZA QUERURGICA PEQUE;A"	500			100	60	50,000.00	30,000.00	20,000.00	
LIMPIEZA QUIRURGICA GRANDE	500			200	110	100,000.00	55,000.00	45,000.00	
LIMPIEZA QUIRURGICA MEDIANA	500			150	100	75,000.00	50,000.00	25,000.00	
LLENADO CERTIFICADO MEDICOS CUBANOS	2			30		60		60	
LOVEGEST 450G VAINILLA	1			80	47.99	80	47.99	32.01	
LUIVAC CAJAX14 COMPRIMIDOS	2			119	88	238	176	62	
MASAJE MAMARIO	97			35		3,395.00		3,395.00	
MASCARILLA DE OXIGENO PEDIATRICA	41			12	5	492	205	287	
MEBENDAZOL 100MG/5ML FRASCOX30 ML	3			4.5	2	13.5	6	7.5	
MEDIC GENERAL CONVENIOS	995			30		29,850.00		29,850.00	
MEDIC GENERAL DR EDWIN ROJAS	977			45		43,965.00		43,965.00	
MEDIC GENERAL DRA BELEM FERNANDEZ	975			45		43,875.00		43,875.00	
MEDICINA GENEREAL DR KEVIN	99992			45		4,499,640.00		4,499,640.00	
MEDICINA INTERNA	8			40		320		320	
MEDICINA REGENERATIVA	995			80		79,600.00		79,600.00	
METODO CONCENTRADO BAJO	999			25		24,975.00		24,975.00	
MOBILISIN GEL 40GR	1			50	35.6	50	35.6	14.4	
NEBULIZACION X 3	462			40	20	18,480.00	9,240.00	9,240.00	
NEBULIZACION X2	82			30		2,460.00		2,460.00	
NUTRICION LIC DEYVI	100			70	50	7,000.00	5,000.00	2,000.00	
NYLON #3	3			8.5	3.2	25.5	9.6	15.9	
OBSTETRICIA CONVENIO GRATUITO	998			0.01		9.98		9.98	
OBSTETRICIA LIC GRECIA	89			35		3,115.00		3,115.00	
ONDA DE CHOQUE	499			85		42,415.00		42,415.00	
ONICECTOMIA	499			100		49,900.00		49,900.00	
ORINA COMPLETA CONVENIO	97			12		1,164.00		1,164.00	
OXIGENO 1 LITRO	996			60	25	59,760.00	24,900.00	34,860.00	
OZONOTERAPIA	10			100		1,000.00		1,000.00	
PANADOL GOTAS 15ML	2			28	16	56	32	24	
PANEL TIROIDEO PROMOCION	100			220		22,000.00		22,000.00	
PAP CITOLOGIA EN ORINA	99			40		3,960.00		3,960.00	
PAP+CULT. SEC. VAGINAL + CONSULTA	99999			100		9,999,900.00		9,999,900.00	
PAQUETE BASICO EXAMENES LABORATORIO	98			60		5,880.00		5,880.00	
PAQUETE CHEQUEO PREVENTIVO	97			120		11,640.00		11,640.00	
PAQUETE COMPLETO OBSTETRICIA	4			110		440		440	
PARASITOLOGICO SIMPLE COLEGIOS	49			10		490		490	
PARASITOLOGICO+HEMOGLOBINA COLEGIO	99			12		1,188.00		1,188.00	
PARASITOLOGICOX3 COLEGIOS	50			25		1,250.00		1,250.00	
PASAJE	10			6		60		60	
PASAJE 6	9			6		54		54	
PASAJE APLICACION DOMICILIO	658			10		6,580.00		6,580.00	
PASAJE DOMICILIO	954			15		14,310.00		14,310.00	
PASAJE DOMICILIO 10	78			10		780		780	
PCR CUANTITATIVA	81			40	10	3,240.00	810	2,430.00	
PEDIATRIA DR OMAR ORE	15			60		900		900	
PEPTIDO CICLICO CITRULINADO CCP	100			160	80	16,000.00	8,000.00	8,000.00	
PERFIL ENA EXTENDIDO LINEBLOT	999			315	242	314,685.00	241,758.00	72,927.00	
PERFIL REUMATICO SYNLAB	9			120	53	1,080.00	477	603	
PESO	86			1		86		86	
PESO Y TALLA	81			2		162		162	
PLASMA DEL PABELLON AURICULAR	500			250		125,000.00		125,000.00	
PLASMA RICO EN PLAQUETAS	1000			350		350,000.00		350,000.00	
PROCEDIMIENTO	10			360		3,600.00		3,600.00	
PROCEDIMIENTO BLOQUEO	996			250		249,000.00		249,000.00	
PROCEDIMIENTO BLOQUEO	995			600		597,000.00		597,000.00	
PROCEDIMIENTO BLOQUEO	997			100		99,700.00		99,700.00	
PROCEDIMIENTO EXTRACCION	1			80		80		80	
PROCEDIMIENTO MENOR	994			60		59,640.00		59,640.00	
PROCEDIMIENTO QUIRURGICO	99			30		2,970.00		2,970.00	
PROCEDIMIENTO YESO	99			60		5,940.00		5,940.00	
PRUEBA DE ALERGIA	981			5		4,905.00		4,905.00	
PRUEBA DENGUE RAPIDA IGG IGM	50			50		2,500.00		2,500.00	
PRUEBA MOLECULAR	10			200		2,000.00		2,000.00	
PRUEBA RAPIDA	17			20	9	340	153	187	
PSA+HEMOG+ORINA+AC URICO+CREAT+UREA	9			80		720		720	
PSICOLOGIA CONVENIO COLEGIOS	50			35		1,750.00		1,750.00	
REPRIMAN METAMIZOL GOTAS 10ML	1			19	15	19	15	4	
RETIRO DE IMPLANTE OBTETRIZ	94			60		5,640.00		5,640.00	
RETIRO DE PUNTOS MAYOR A 5 PUNTOS	94			50		4,700.00		4,700.00	
RETIRO DE PUNTOS MENOR DE 5 PUNTOS	491			30		14,730.00		14,730.00	
RETIRO PUNTO	8			10		80		80	
RETIRO PUNTO DIAMANTE	9			60		540		540	
RETIRO QUISTE	9			150		1,350.00		1,350.00	
RX  TORAX FRONTAL Y LATERAL	995			110		109,450.00		109,450.00	
RX CALCANEO COMPARATIVO	999			100		99,900.00		99,900.00	
RX COLUMNA LUMBO SACRO	817			90		73,530.00		73,530.00	
RX COLUMNA TOTAL	999			280		279,720.00		279,720.00	
RX LUMBO SACRO	827			90		74,430.00		74,430.00	
RX MADURACION OSEA	997			95		94,715.00		94,715.00	
RX MESURACION MIEMBROS INFERIORES	998			90		89,820.00		89,820.00	
RX TORAX AP	1000			70		70,000.00		70,000.00	
RX TORAX FRONTAL	889			75		66,675.00		66,675.00	
RX TORAX FRONTAL	999			70		69,930.00		69,930.00	
RX TORAX LATERAL	999			75		74,925.00		74,925.00	
SERVICIO DOMICILIO TOMA DE MUESTRA	18			10		180		180	
SIGNOS VITALES	1000			4		4,000.00		4,000.00	
SONDA FOLEY #16	8			12	5	96	40	56	
SULFADIAZINA DE PLATA 1% CREMA50GR	1			15	6	15	6	9	
SUTURA GRANDE MAYOR A 5 PUNTOS	500			120		60,000.00		60,000.00	
SUTURA HERIDA POR PLANOS	500			250		125,000.00		125,000.00	
SUTURA MEDIANA 3-5 PUNTOS	496			90		44,640.00		44,640.00	
"SUTURA PEQUE;A 3PUNTOS"	499			70		34,930.00		34,930.00	
TERAPIA ESTANDAR	99997			35		3,499,895.00		3,499,895.00	
TERAPIA ESTANDAR X2	99999			55		5,499,945.00		5,499,945.00	
TERAPIA ONDA DE CHOQUE	99999			70		6,999,930.00		6,999,930.00	
TERAPIA ONDA DE CHOQUE X2	99999			115		11,499,885.00		11,499,885.00	
TERAPIA PAQUETE SEMANAL	99998			120		11,999,760.00		11,999,760.00	
TERAPIA PAQUETE SEMANAL X2	99999			200		19,999,800.00		19,999,800.00	
TEST AMINA	99			25		2,475.00		2,475.00	
TIEMPO DE TROMBOPLASTINA	99			50		4,950.00		4,950.00	
TOMA DE SIGNOS VITALES	997			15		14,955.00		14,955.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
TOPIMICYN NF UNGUENTO X14G	1			30	15.99	30	15.99	14.01	
TRAUMATOLOGIA DR HERNANDEZ	998			80		79,840.00		79,840.00	
TRAUMATOLOGO LLENADO CERTIFICADO	50			40		2,000.00		2,000.00	
TSH AUTOANTICUERPOS A RECP DE TCH	999			165		164,835.00		164,835.00	
UREA+VSG+AC URICO+CREATINA+ORINA	99			60		5,940.00		5,940.00	
UROCULTIVO CON MIC	100			65	45	6,500.00	4,500.00	2,000.00	
UROLOGIA CONSULTA PROMOCION	98			70		6,860.00		6,860.00	
UROLOGIA CURACION	999			80		79,920.00		79,920.00	
UROLOGIA DR JIMENEZ	85			80		6,800.00		6,800.00	
UROLOGIA PAQUETE PROMOCION	83			150		12,450.00		12,450.00	
V.D.R.L CUALITATIVO	90			25		2,250.00		2,250.00	
VISCOSUPLEMENTACION	100			50		5,000.00		5,000.00	
VITAMINA B3	10			205	183	2,050.00	1,830.00	220	
VITAMINA D 1.25	10			145	100	1,450.00	1,000.00	450	
VITAVERAN CIP B12 JARABE	3			25	15	75	45	30	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						87,072,455.48	5,306,516.78	81,765,938.70	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
ÿ									
ÿ									
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
T O T A L E S :						**********.**    5	1,994,356.17	**********.**	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
